Diet Type,Calories,Protein,Calcium,Fats,Breakfast,Lunch,Dinner
Vegetarian,2846,114,1107,60,Vegetable Poha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,3351,68,467,65,Oats with Fruits,Dal Rice,Palak Paneer with Roti
Vegetarian,3066,185,989,71,Idli Sambhar,Chole Bhature,Matar Paneer
Vegetarian,2296,75,743,97,Idli Sambhar,Rajma Chawal,Matar Paneer
Non-Vegetarian,2631,100,1063,77,Egg Bhurji,Mutton Biryani,Chicken Tikka Masala
Vegetarian,2204,152,898,31,Idli Sambhar,Dal Rice,Mixed Vegetable Curry
Vegetarian,1354,190,890,31,Paneer Paratha,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,1338,95,451,75,Scrambled Eggs,Prawn Masala,Butter Chicken
Non-Vegetarian,1859,90,691,92,Egg Bhurji,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,2209,88,860,62,Chicken Sandwich,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2361,139,863,29,Egg Omelette,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,2471,50,613,53,Egg Bhurji,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,1362,187,416,97,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Vegetarian,2986,186,874,42,Oats with Fruits,Rajma Chawal,Mixed Vegetable Curry
Vegetarian,1886,84,510,88,Vegetable Poha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Non-Vegetarian,3053,63,665,71,Chicken Sandwich,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,3417,185,899,45,Egg Omelette,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,1350,177,804,52,Chicken Sandwich,Chicken Curry with Rice,Grilled Chicken
Vegetarian,2790,109,556,36,Vegetable Poha,Chole Bhature,Palak Paneer with Roti
Non-Vegetarian,1414,128,936,67,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Vegetarian,1696,54,426,32,Idli Sambhar,Paneer Butter Masala with Roti,Khichdi
Non-Vegetarian,1546,142,765,83,Scrambled Eggs,Mutton Biryani,Butter Chicken
Vegetarian,2621,86,1112,51,Vegetable Poha,Rajma Chawal,Matar Paneer
Non-Vegetarian,3171,197,611,47,Chicken Sandwich,Mutton Biryani,Butter Chicken
Vegetarian,2620,119,461,54,Paneer Paratha,Rajma Chawal,Matar Paneer
Non-Vegetarian,3042,86,799,63,Egg Bhurji,Prawn Masala,Tandoori Fish
Non-Vegetarian,2265,127,659,79,Chicken Sandwich,Prawn Masala,Grilled Chicken
Vegetarian,2892,102,561,20,Oats with Fruits,Paneer Butter Masala with Roti,Khichdi
Vegetarian,2043,96,915,63,Paneer Paratha,Dal Rice,Palak Paneer with Roti
Vegetarian,3349,110,567,87,Idli Sambhar,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,2976,111,877,50,Chicken Sausage,Mutton Biryani,Butter Chicken
Vegetarian,3104,89,517,67,Paneer Paratha,Vegetable Biryani,Khichdi
Vegetarian,2745,177,991,29,Paneer Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,2096,149,1187,81,Vegetable Poha,Vegetable Biryani,Khichdi
Vegetarian,2982,153,791,88,Aloo Paratha,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,2238,99,741,43,Scrambled Eggs,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,2734,114,1153,63,Egg Omelette,Mutton Biryani,Mutton Rogan Josh
Vegetarian,2324,78,457,91,Paneer Paratha,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,1525,72,490,61,Egg Bhurji,Mutton Biryani,Butter Chicken
Non-Vegetarian,3216,85,759,40,Egg Bhurji,Egg Curry with Rice,Tandoori Fish
Vegetarian,2192,154,1187,49,Oats with Fruits,Vegetable Biryani,Khichdi
Vegetarian,1722,98,617,62,Idli Sambhar,Vegetable Biryani,Khichdi
Vegetarian,2293,75,762,38,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,1798,183,1121,63,Egg Bhurji,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,3046,196,1030,63,Egg Omelette,Mutton Biryani,Tandoori Fish
Non-Vegetarian,1928,168,787,68,Egg Omelette,Prawn Masala,Grilled Chicken
Vegetarian,1996,199,403,61,Paneer Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,3179,120,669,21,Egg Bhurji,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,1801,186,900,73,Aloo Paratha,Rajma Chawal,Palak Paneer with Roti
Vegetarian,2638,157,732,39,Idli Sambhar,Vegetable Biryani,Khichdi
Non-Vegetarian,2215,179,809,43,Chicken Sausage,Egg Curry with Rice,Grilled Chicken
Vegetarian,1273,82,570,38,Oats with Fruits,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,2963,117,525,96,Egg Bhurji,Mutton Biryani,Butter Chicken
Non-Vegetarian,1538,196,833,76,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,3230,133,1049,50,Egg Omelette,Mutton Biryani,Mutton Rogan Josh
Non-Vegetarian,1850,188,422,58,Egg Bhurji,Mutton Biryani,Mutton Rogan Josh
Vegetarian,1765,160,422,26,Aloo Paratha,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,3365,126,792,98,Chicken Sausage,Egg Curry with Rice,Mutton Rogan Josh
Vegetarian,2365,125,1150,43,Idli Sambhar,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,3157,125,473,64,Egg Bhurji,Prawn Masala,Mutton Rogan Josh
Vegetarian,1998,139,976,32,Aloo Paratha,Chole Bhature,Dum Aloo
Vegetarian,1496,136,1026,67,Oats with Fruits,Rajma Chawal,Khichdi
Non-Vegetarian,1934,147,529,44,Chicken Sausage,Prawn Masala,Chicken Tikka Masala
Vegetarian,3255,91,632,79,Aloo Paratha,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,1884,164,600,67,Chicken Sandwich,Chicken Curry with Rice,Grilled Chicken
Vegetarian,1237,111,827,58,Idli Sambhar,Vegetable Biryani,Dum Aloo
Non-Vegetarian,1215,134,633,53,Egg Bhurji,Chicken Curry with Rice,Grilled Chicken
Vegetarian,3052,71,734,40,Vegetable Poha,Dal Rice,Matar Paneer
Non-Vegetarian,3499,80,621,84,Egg Bhurji,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,1336,151,985,28,Chicken Sandwich,Egg Curry with Rice,Grilled Chicken
Vegetarian,2542,64,468,28,Vegetable Poha,Chole Bhature,Matar Paneer
Vegetarian,1384,97,629,93,Idli Sambhar,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,1835,89,999,40,Aloo Paratha,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,3028,184,1176,57,Egg Bhurji,Prawn Masala,Tandoori Fish
Vegetarian,2334,173,1035,30,Paneer Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,2486,102,1045,42,Paneer Paratha,Rajma Chawal,Khichdi
Non-Vegetarian,3239,90,1028,63,Chicken Sausage,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,1615,169,459,46,Chicken Sausage,Egg Curry with Rice,Grilled Chicken
Vegetarian,1615,155,1186,55,Vegetable Poha,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,3246,156,1134,67,Egg Omelette,Prawn Masala,Grilled Chicken
Non-Vegetarian,1551,184,1009,68,Chicken Sausage,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,2696,72,909,80,Egg Bhurji,Mutton Biryani,Tandoori Fish
Non-Vegetarian,2563,141,601,20,Scrambled Eggs,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,2355,179,1018,60,Egg Bhurji,Egg Curry with Rice,Grilled Chicken
Vegetarian,1668,183,917,79,Vegetable Poha,Chole Bhature,Matar Paneer
Non-Vegetarian,1318,164,645,37,Chicken Sandwich,Chicken Curry with Rice,Grilled Chicken
Vegetarian,1806,156,542,93,Oats with Fruits,Paneer Butter Masala with Roti,Khichdi
Vegetarian,3246,137,907,44,Aloo Paratha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Non-Vegetarian,2513,159,602,22,Chicken Sausage,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,1215,131,1023,31,Chicken Sandwich,Mutton Biryani,Butter Chicken
Non-Vegetarian,2716,180,970,61,Scrambled Eggs,Fish Fry with Roti,Butter Chicken
Non-Vegetarian,1694,185,638,44,Scrambled Eggs,Prawn Masala,Tandoori Fish
Vegetarian,1634,57,889,88,Idli Sambhar,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,3446,58,1070,79,Oats with Fruits,Dal Rice,Dum Aloo
Vegetarian,2880,147,592,45,Paneer Paratha,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,3050,53,1021,38,Paneer Paratha,Paneer Butter Masala with Roti,Khichdi
Vegetarian,2217,68,503,25,Oats with Fruits,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,1624,183,914,39,Egg Bhurji,Mutton Biryani,Mutton Rogan Josh
Vegetarian,1826,59,673,75,Paneer Paratha,Rajma Chawal,Matar Paneer
Vegetarian,1317,97,775,65,Aloo Paratha,Chole Bhature,Dum Aloo
Non-Vegetarian,2736,100,806,83,Chicken Sausage,Fish Fry with Roti,Butter Chicken
Non-Vegetarian,1797,118,409,47,Chicken Sandwich,Fish Fry with Roti,Grilled Chicken
Vegetarian,2249,154,581,72,Paneer Paratha,Vegetable Biryani,Matar Paneer
Non-Vegetarian,2610,169,1008,25,Egg Omelette,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,1514,132,871,47,Idli Sambhar,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,1562,113,503,39,Egg Bhurji,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,2239,105,754,33,Idli Sambhar,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,1223,119,484,22,Idli Sambhar,Vegetable Biryani,Khichdi
Vegetarian,1854,180,732,26,Idli Sambhar,Vegetable Biryani,Matar Paneer
Non-Vegetarian,1469,157,740,41,Egg Bhurji,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,2718,166,1189,68,Egg Omelette,Fish Fry with Roti,Grilled Chicken
Vegetarian,1466,182,977,62,Idli Sambhar,Chole Bhature,Dum Aloo
Vegetarian,1584,190,752,84,Oats with Fruits,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,1439,138,936,65,Oats with Fruits,Chole Bhature,Matar Paneer
Non-Vegetarian,1618,185,948,81,Chicken Sausage,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,3267,152,990,97,Chicken Sandwich,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,3109,111,466,36,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Vegetarian,1634,185,551,89,Idli Sambhar,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,1387,57,974,79,Paneer Paratha,Rajma Chawal,Khichdi
Non-Vegetarian,1658,160,529,74,Chicken Sandwich,Mutton Biryani,Tandoori Fish
Non-Vegetarian,1461,122,722,31,Egg Omelette,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,1712,91,580,56,Chicken Sandwich,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,1322,73,921,88,Egg Omelette,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,1667,180,593,49,Egg Bhurji,Egg Curry with Rice,Grilled Chicken
Non-Vegetarian,1878,103,803,88,Chicken Sandwich,Prawn Masala,Butter Chicken
Vegetarian,1370,189,880,52,Vegetable Poha,Vegetable Biryani,Dum Aloo
Non-Vegetarian,1879,157,730,31,Scrambled Eggs,Prawn Masala,Chicken Tikka Masala
Vegetarian,2425,91,706,73,Vegetable Poha,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,1446,157,1008,49,Vegetable Poha,Chole Bhature,Matar Paneer
Vegetarian,2526,120,890,76,Idli Sambhar,Chole Bhature,Mixed Vegetable Curry
Vegetarian,1591,111,784,82,Aloo Paratha,Dal Rice,Matar Paneer
Vegetarian,2341,174,596,38,Oats with Fruits,Chole Bhature,Dum Aloo
Vegetarian,1284,109,513,65,Idli Sambhar,Chole Bhature,Matar Paneer
Non-Vegetarian,3079,169,686,79,Chicken Sausage,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,1332,99,1091,98,Chicken Sandwich,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,2478,180,961,56,Egg Omelette,Chicken Curry with Rice,Butter Chicken
Vegetarian,2560,94,889,57,Aloo Paratha,Chole Bhature,Matar Paneer
Vegetarian,2910,86,408,73,Idli Sambhar,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,3119,119,1028,25,Oats with Fruits,Dal Rice,Khichdi
Vegetarian,1894,177,740,30,Idli Sambhar,Chole Bhature,Mixed Vegetable Curry
Vegetarian,1410,92,1016,23,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Vegetarian,3442,189,531,63,Vegetable Poha,Chole Bhature,Palak Paneer with Roti
Non-Vegetarian,2093,71,638,32,Egg Bhurji,Mutton Biryani,Mutton Rogan Josh
Vegetarian,1560,152,1119,60,Vegetable Poha,Rajma Chawal,Mixed Vegetable Curry
Vegetarian,2899,156,751,66,Paneer Paratha,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,1363,108,495,67,Chicken Sandwich,Mutton Biryani,Mutton Rogan Josh
Non-Vegetarian,2679,112,681,42,Chicken Sandwich,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,3206,191,832,96,Scrambled Eggs,Chicken Curry with Rice,Tandoori Fish
Vegetarian,1601,150,566,95,Paneer Paratha,Vegetable Biryani,Khichdi
Non-Vegetarian,2749,197,974,66,Egg Omelette,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,1555,161,841,88,Chicken Sandwich,Egg Curry with Rice,Mutton Rogan Josh
Vegetarian,3206,150,893,82,Oats with Fruits,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,1893,168,983,40,Idli Sambhar,Dal Rice,Matar Paneer
Non-Vegetarian,3102,176,460,28,Chicken Sausage,Fish Fry with Roti,Butter Chicken
Vegetarian,2539,145,484,70,Vegetable Poha,Chole Bhature,Mixed Vegetable Curry
Vegetarian,3131,103,454,98,Vegetable Poha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,2560,93,458,58,Scrambled Eggs,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,2747,65,673,37,Chicken Sausage,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,1999,65,912,26,Egg Bhurji,Prawn Masala,Tandoori Fish
Vegetarian,2023,136,1152,64,Paneer Paratha,Vegetable Biryani,Dum Aloo
Vegetarian,2940,120,839,98,Oats with Fruits,Vegetable Biryani,Khichdi
Vegetarian,1621,162,409,96,Oats with Fruits,Rajma Chawal,Matar Paneer
Non-Vegetarian,2586,171,975,20,Egg Bhurji,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,2409,176,855,51,Egg Omelette,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,3066,62,516,64,Egg Bhurji,Prawn Masala,Grilled Chicken
Non-Vegetarian,2611,195,1154,37,Chicken Sandwich,Prawn Masala,Butter Chicken
Vegetarian,3011,123,447,71,Aloo Paratha,Chole Bhature,Khichdi
Vegetarian,2561,92,1131,57,Vegetable Poha,Dal Rice,Dum Aloo
Vegetarian,1930,55,506,73,Idli Sambhar,Vegetable Biryani,Khichdi
Non-Vegetarian,2011,193,746,21,Egg Omelette,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,2300,128,913,47,Egg Omelette,Prawn Masala,Mutton Rogan Josh
Vegetarian,1921,77,464,52,Aloo Paratha,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,1489,92,995,74,Egg Omelette,Mutton Biryani,Grilled Chicken
Non-Vegetarian,2369,109,531,71,Chicken Sandwich,Mutton Biryani,Butter Chicken
Non-Vegetarian,2345,123,971,96,Chicken Sandwich,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,1452,105,1192,21,Aloo Paratha,Dal Rice,Matar Paneer
Non-Vegetarian,1984,154,594,86,Chicken Sausage,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,1301,173,813,95,Egg Bhurji,Chicken Curry with Rice,Tandoori Fish
Vegetarian,2424,163,886,32,Aloo Paratha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Vegetarian,1583,118,548,65,Vegetable Poha,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,2382,76,936,34,Chicken Sausage,Egg Curry with Rice,Grilled Chicken
Vegetarian,3456,102,965,51,Idli Sambhar,Rajma Chawal,Palak Paneer with Roti
Vegetarian,3375,146,844,81,Aloo Paratha,Rajma Chawal,Dum Aloo
Non-Vegetarian,1468,134,556,35,Chicken Sandwich,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,3300,180,658,48,Scrambled Eggs,Prawn Masala,Butter Chicken
Vegetarian,1842,122,789,42,Vegetable Poha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Non-Vegetarian,2600,157,859,79,Egg Bhurji,Prawn Masala,Chicken Tikka Masala
Vegetarian,2263,195,1120,23,Vegetable Poha,Paneer Butter Masala with Roti,Khichdi
Vegetarian,1229,200,730,57,Paneer Paratha,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,2377,183,774,30,Idli Sambhar,Rajma Chawal,Dum Aloo
Non-Vegetarian,1369,105,1154,77,Chicken Sausage,Egg Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,1769,186,650,49,Scrambled Eggs,Mutton Biryani,Butter Chicken
Vegetarian,1522,171,633,50,Oats with Fruits,Chole Bhature,Palak Paneer with Roti
Non-Vegetarian,3413,149,1088,86,Chicken Sausage,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,1453,60,688,61,Scrambled Eggs,Fish Fry with Roti,Butter Chicken
Non-Vegetarian,1769,73,452,57,Scrambled Eggs,Chicken Curry with Rice,Tandoori Fish
Vegetarian,2264,96,702,23,Oats with Fruits,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,3203,147,600,76,Scrambled Eggs,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,2668,172,642,38,Paneer Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,1606,116,999,39,Paneer Paratha,Dal Rice,Mixed Vegetable Curry
Vegetarian,3308,196,546,93,Paneer Paratha,Dal Rice,Matar Paneer
Non-Vegetarian,1284,85,1181,50,Chicken Sausage,Fish Fry with Roti,Butter Chicken
Non-Vegetarian,1738,81,407,99,Egg Omelette,Mutton Biryani,Mutton Rogan Josh
Non-Vegetarian,2124,199,1052,78,Chicken Sandwich,Prawn Masala,Chicken Tikka Masala
Vegetarian,1606,82,823,57,Oats with Fruits,Rajma Chawal,Dum Aloo
Vegetarian,2458,57,572,33,Aloo Paratha,Dal Rice,Dum Aloo
Vegetarian,3149,121,925,41,Idli Sambhar,Dal Rice,Mixed Vegetable Curry
Non-Vegetarian,2438,80,1098,94,Chicken Sausage,Prawn Masala,Grilled Chicken
Vegetarian,3348,198,700,84,Aloo Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,3438,189,1023,29,Chicken Sandwich,Egg Curry with Rice,Grilled Chicken
Non-Vegetarian,1953,163,778,41,Scrambled Eggs,Prawn Masala,Grilled Chicken
Non-Vegetarian,2591,178,694,79,Chicken Sandwich,Prawn Masala,Grilled Chicken
Vegetarian,2171,175,800,52,Oats with Fruits,Rajma Chawal,Mixed Vegetable Curry
Vegetarian,1948,92,860,47,Oats with Fruits,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,1225,99,686,26,Idli Sambhar,Chole Bhature,Mixed Vegetable Curry
Vegetarian,2605,131,821,77,Paneer Paratha,Rajma Chawal,Palak Paneer with Roti
Vegetarian,2571,181,1199,99,Aloo Paratha,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Non-Vegetarian,1987,191,570,75,Chicken Sandwich,Egg Curry with Rice,Mutton Rogan Josh
Vegetarian,2057,190,1034,80,Aloo Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,3041,167,1132,83,Chicken Sausage,Prawn Masala,Butter Chicken
Non-Vegetarian,3500,152,1046,50,Egg Bhurji,Prawn Masala,Grilled Chicken
Vegetarian,2464,104,1193,73,Paneer Paratha,Rajma Chawal,Dum Aloo
Vegetarian,1519,181,879,23,Aloo Paratha,Rajma Chawal,Palak Paneer with Roti
Vegetarian,1937,198,439,49,Idli Sambhar,Rajma Chawal,Matar Paneer
Non-Vegetarian,1679,173,440,33,Egg Omelette,Egg Curry with Rice,Mutton Rogan Josh
Vegetarian,3003,152,672,62,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,1611,196,424,36,Egg Omelette,Prawn Masala,Grilled Chicken
Vegetarian,2502,178,888,28,Vegetable Poha,Dal Rice,Mixed Vegetable Curry
Vegetarian,1860,168,676,36,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Vegetarian,3006,51,656,68,Paneer Paratha,Vegetable Biryani,Matar Paneer
Non-Vegetarian,3466,195,872,100,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Vegetarian,2606,99,709,96,Paneer Paratha,Dal Rice,Dum Aloo
Vegetarian,2125,102,1142,56,Idli Sambhar,Rajma Chawal,Matar Paneer
Non-Vegetarian,1489,126,479,28,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Vegetarian,2660,54,894,42,Vegetable Poha,Dal Rice,Khichdi
Non-Vegetarian,2408,194,876,32,Egg Bhurji,Prawn Masala,Tandoori Fish
Vegetarian,1293,57,897,31,Oats with Fruits,Vegetable Biryani,Dum Aloo
Non-Vegetarian,2663,137,485,50,Chicken Sausage,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,2936,163,744,79,Egg Bhurji,Chicken Curry with Rice,Grilled Chicken
Non-Vegetarian,3328,146,672,46,Chicken Sausage,Prawn Masala,Chicken Tikka Masala
Vegetarian,2145,124,860,34,Idli Sambhar,Chole Bhature,Palak Paneer with Roti
Vegetarian,3006,59,681,72,Idli Sambhar,Dal Rice,Matar Paneer
Vegetarian,2604,128,695,43,Paneer Paratha,Vegetable Biryani,Dum Aloo
Non-Vegetarian,2075,59,549,22,Egg Bhurji,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,3462,98,414,79,Idli Sambhar,Vegetable Biryani,Matar Paneer
Non-Vegetarian,2544,185,478,97,Chicken Sausage,Prawn Masala,Tandoori Fish
Non-Vegetarian,2019,98,434,35,Scrambled Eggs,Egg Curry with Rice,Tandoori Fish
Vegetarian,2793,188,671,74,Vegetable Poha,Dal Rice,Dum Aloo
Vegetarian,3481,102,707,66,Paneer Paratha,Chole Bhature,Dum Aloo
Vegetarian,1820,112,1187,39,Paneer Paratha,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,2730,148,868,66,Egg Omelette,Fish Fry with Roti,Butter Chicken
Vegetarian,1256,101,1036,74,Idli Sambhar,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,2512,156,814,62,Aloo Paratha,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,1989,190,811,90,Egg Bhurji,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,2001,91,1180,77,Egg Omelette,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2236,178,687,99,Egg Bhurji,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,2001,63,651,55,Egg Omelette,Prawn Masala,Mutton Rogan Josh
Vegetarian,1451,102,890,79,Idli Sambhar,Dal Rice,Khichdi
Non-Vegetarian,1569,144,835,80,Chicken Sausage,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,2558,193,1183,73,Oats with Fruits,Vegetable Biryani,Palak Paneer with Roti
Vegetarian,3338,192,973,31,Oats with Fruits,Vegetable Biryani,Khichdi
Vegetarian,1272,176,403,59,Oats with Fruits,Chole Bhature,Matar Paneer
Vegetarian,1268,140,785,85,Vegetable Poha,Dal Rice,Dum Aloo
Vegetarian,3261,191,1174,23,Idli Sambhar,Chole Bhature,Mixed Vegetable Curry
Vegetarian,2872,118,1177,99,Aloo Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,3150,198,803,82,Oats with Fruits,Vegetable Biryani,Dum Aloo
Non-Vegetarian,1233,73,785,92,Scrambled Eggs,Prawn Masala,Grilled Chicken
Vegetarian,2945,135,771,88,Aloo Paratha,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,1550,101,852,54,Egg Omelette,Fish Fry with Roti,Grilled Chicken
Vegetarian,2371,105,1056,34,Aloo Paratha,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,2563,111,748,100,Egg Omelette,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,1969,186,965,51,Egg Omelette,Mutton Biryani,Grilled Chicken
Non-Vegetarian,1330,127,869,97,Egg Omelette,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,2339,53,496,27,Chicken Sandwich,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2636,146,654,56,Chicken Sandwich,Chicken Curry with Rice,Butter Chicken
Vegetarian,2853,177,1101,77,Vegetable Poha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,2952,190,528,29,Paneer Paratha,Dal Rice,Mixed Vegetable Curry
Vegetarian,2713,150,428,58,Oats with Fruits,Dal Rice,Mixed Vegetable Curry
Vegetarian,2069,123,512,84,Vegetable Poha,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,3029,178,479,45,Vegetable Poha,Rajma Chawal,Mixed Vegetable Curry
Vegetarian,1288,164,766,65,Oats with Fruits,Dal Rice,Khichdi
Non-Vegetarian,1624,198,592,20,Egg Omelette,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,2686,50,956,71,Chicken Sandwich,Mutton Biryani,Butter Chicken
Vegetarian,2974,160,542,62,Oats with Fruits,Dal Rice,Mixed Vegetable Curry
Non-Vegetarian,2506,181,505,87,Scrambled Eggs,Fish Fry with Roti,Mutton Rogan Josh
Vegetarian,2380,109,982,30,Paneer Paratha,Dal Rice,Mixed Vegetable Curry
Vegetarian,2351,132,835,49,Vegetable Poha,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,2930,138,1136,40,Chicken Sausage,Mutton Biryani,Grilled Chicken
Vegetarian,1737,175,819,92,Aloo Paratha,Rajma Chawal,Khichdi
Non-Vegetarian,1471,124,604,59,Egg Omelette,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,1993,187,566,68,Egg Omelette,Chicken Curry with Rice,Butter Chicken
Vegetarian,1519,115,918,76,Idli Sambhar,Chole Bhature,Palak Paneer with Roti
Vegetarian,1777,122,637,50,Idli Sambhar,Rajma Chawal,Dum Aloo
Vegetarian,1460,99,1144,91,Vegetable Poha,Vegetable Biryani,Khichdi
Non-Vegetarian,2892,170,436,85,Scrambled Eggs,Fish Fry with Roti,Butter Chicken
Vegetarian,1546,82,1123,49,Paneer Paratha,Rajma Chawal,Matar Paneer
Non-Vegetarian,1502,112,661,74,Scrambled Eggs,Mutton Biryani,Mutton Rogan Josh
Non-Vegetarian,1893,154,791,34,Egg Omelette,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,2110,184,876,35,Scrambled Eggs,Egg Curry with Rice,Grilled Chicken
Non-Vegetarian,1711,140,680,25,Egg Omelette,Chicken Curry with Rice,Tandoori Fish
